sample_id,date,latitude,longitude,elevation,d18O,d2H,dxs,site_name,type,type_number,laketype,laketype_number,lake_surface_area,basin_name,alt_basin_name,lakeshed_area,dist_gris,dist_ocean,timing,main_lakes,qc_flag,year,doy,E_I_d18O_bayes,E_I_d18O_1sd_bayes,E_I_d2H_bayes,E_I_d2H_1sd_bayes,E_I_dxs_bayes,E_I_dxs_1sd_bayes
2018_099_AngryDuckLake_1,2018-07-05,76.5662,-68.4312,74,-0.0095,-0.1,-0.024,Angry Duck Lake,lake,1,megapool,1,7808,Amitsuarsuk,Potato,110403,7123,997,1,1,0,2018,186,0.965,0.461,0.736,0.639,1.51,2.183
2018_258_AngryDuckLake_1,2018-08-23,76.5662,-68.4312,74,-0.0099,-0.102,-0.023,Angry Duck Lake,lake,1,megapool,1,7808,Amitsuarsuk,Potato,110403,7123,997,2,1,0,2018,235,1.535,0.771,1.159,1.067,2.416,3.609
2019_137_AngryDuckLake_26072019,2019-07-26,76.5662,-68.4312,74,-0.0047,-0.08,-0.042,Angry Duck Lake,lake,1,megapool,1,7808,Amitsuarsuk,Potato,110403,7123,997,3,1,0,2019,207,2.847,0.863,1.666,0.929,16.253,14.832
2018_148_DLaunchLake_1,2018-07-11,76.5105,-68.88,86,-0.0193,-0.15,0.004,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,1,0,0,2018,192,0.062,0.191,0.079,0.313,0.042,0.634
2018_200_DLaunchLake_07.08.18,2018-08-07,76.5105,-68.88,86,-0.0178,-0.141,0.001,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,2,0,0,2018,219,0.124,0.216,0.162,0.36,0.077,0.696
2019_069_DLaunncLake_22072019,2019-07-22,76.5105,-68.88,86,-0.0174,-0.14,-0.001,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,3,0,0,2019,203,0.163,0.253,0.2,0.426,0.115,0.814
2018_079_DiabaseDepthLake_1,2018-07-01,76.571,-68.6848,197,-0.0192,-0.15,0.004,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,1,1,0,2018,182,0.047,0.135,0.048,0.225,0.043,0.458
2018_281_DiabaseDepthLake_1,2018-08-22,76.571,-68.6848,197,-0.0178,-0.142,0,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,2,1,0,2018,234,0.101,0.143,0.113,0.241,0.087,0.475
2019_101_DiabaseDepthLake_25072019,2019-07-25,76.571,-68.6848,197,-0.0176,-0.144,-0.003,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,3,1,0,2019,206,0.127,0.169,0.114,0.281,0.144,0.574
2018_062_DirtyIceLake_1,2018-06-29,76.5636,-68.5407,185,-0.0172,-0.139,-0.001,Dirty Ice Lake,lake,1,headwater,2,6651,Raven,Raven,324914,8664,2122,1,1,0,2018,180,0.08,0.082,0.059,0.149,0.103,0.284
